rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops,dataset
(Husband_Occupation / Husband_Education) <= 0.33,2,399,21.02299925666034,8.255623807406138,6.074512226641989,1,5,0,0,0.01,0,0,9,6.0,0.1428571428571428,0.0149955768204777,9.0,False,0.3018125490126961,6.074512226641989,0.0009990009990009,L_symb,,6.074512226641989,(Husband_Occupation / Husband_Education),<=,0.33,1.0,cmc
(Husband_Occupation / Husband_Education) <= 0.25,2,399,21.02299925666034,8.255623807406138,6.074512226641989,1,5,0,0,0.01,0,0,9,6.0,0.1428571428571428,0.0149955768204777,9.0,False,0.3018125490126961,6.074512226641989,0.0009990009990009,L_symb,,6.074512226641989,(Husband_Occupation / Husband_Education),<=,0.25,1.0,cmc
(Husband_Education - Husband_Occupation) > 2,2,399,21.02299925666034,8.255623807406138,6.074512226641989,1,4,0,0,0.0,0,0,7,5.0,0.1666666666666666,0.0301973834223185,7.0,False,0.4282923940621288,6.074512226641989,0.0009990009990009,L_symb,,6.074512226641989,(Husband_Education - Husband_Occupation),>,2.0,1.0,cmc
Husband_Occupation <= 1.5 AND Contraceptive_Method <= 1.5 AND Children > 1.5 AND Children <= 5.5,4,77,25.79211873774377,13.024743288489567,4.2100727723749785,2,8,1,0,0.4,0,0,0,11.0,0.0833333333333333,0.0004528271828867,1.0,False,0.0436627460572851,4.2100727723749785,0.0019980019980019,L_tree,7.0,,,,,,cmc
Husband_Occupation > 1.5 AND Contraceptive_Method <= 1.5 AND SOLI > 2.5 AND Wife_Education > 3.5,4,65,24.266874872422807,11.499499423168604,3.4151570657333017,2,6,1,0,0.4,0,0,0,9.0,0.1,0.0018363047770289,1.0,True,0.0791913457021036,3.4151570657333017,0.0059940059940059,L_tree,23.0,,,,,,cmc
Husband_Occupation > 1.5 AND Contraceptive_Method > 1.5 AND SOLI <= 2.5 AND Husband_Education <= 3.5,4,99,3.65677275936424,-9.110602689889962,3.3391795564051483,3,8,2,0,0.4,0,0,0,13.0,0.0714285714285714,0.0001116658084901,2.0,False,0.0193098986237536,3.3391795564051483,0.0009990009990009,L_tree,26.0,,,,,,cmc
Husband_Occupation > 1.5 AND Contraceptive_Method > 1.5 AND SOLI > 2.5 AND Children > 3.5,4,181,6.330492679751454,-6.436882769502749,3.189994652522251,2,5,1,0,0.4,0,0,0,8.0,0.1111111111111111,0.0036978637164829,1.0,True,0.1086101536751357,3.189994652522251,0.0019980019980019,L_tree,30.0,,,,,,cmc
Husband_Occupation > 1.5 AND Contraceptive_Method <= 1.5 AND SOLI <= 2.5 AND Children > 5.5,4,35,3.406410756349206,-9.360964692904997,2.039997791615902,2,7,1,0,0.4,0,0,0,10.0,0.0909090909090909,0.0009118819655545,1.0,False,0.0431304671426774,2.039997791615902,0.0419580419580419,L_tree,20.0,,,,,,cmc
Husband_Occupation > 1.5 AND Contraceptive_Method <= 1.5 AND SOLI <= 2.5 AND Children <= 5.5,4,144,8.154651193229954,-4.612724256024249,2.0389839520777415,2,8,1,0,0.4,0,0,0,11.0,0.0833333333333333,0.0004528271828867,1.0,False,0.0303859730627596,2.0389839520777415,0.0289710289710289,L_tree,19.0,,,,,,cmc
Husband_Occupation <= 1.5 AND Contraceptive_Method > 1.5 AND Children <= 5.5 AND SOLI > 3.5,4,169,16.664598671629378,3.8972232223751746,1.8662666783485855,2,7,1,0,0.4,0,0,0,10.0,0.0909090909090909,0.0009118819655545,1.0,False,0.041253059606548,1.8662666783485855,0.0449550449550449,L_tree,12.0,,,,,,cmc
Husband_Occupation > 1.5 AND Contraceptive_Method > 1.5 AND SOLI <= 2.5 AND Husband_Education > 3.5,4,44,6.19678157293277,-6.570593876321433,1.6054841808728082,3,7,2,0,0.4,0,0,0,12.0,0.0769230769230769,0.0002248673241788,2.0,False,0.0190005508279191,1.6054841808728082,0.0819180819180819,L_tree,27.0,,,,,,cmc
Husband_Occupation <= 1.5 AND Contraceptive_Method > 1.5 AND Children > 5.5 AND Children <= 6.5,4,16,1.9851715130129584,-10.782203936241244,1.5887025810769082,2,7,1,0,0.4,0,0,0,10.0,0.0909090909090909,0.0009118819655545,1.0,False,0.0380619131457411,1.5887025810769082,0.0779220779220779,L_tree,14.0,,,,,,cmc
Husband_Occupation > 1.5 AND Contraceptive_Method > 1.5 AND SOLI > 2.5 AND Children <= 3.5,4,242,10.033380839927869,-2.7339946093263343,1.5666803805796454,2,6,1,0,0.4,0,0,0,9.0,0.1,0.0018363047770289,1.0,False,0.053636765999973,1.5666803805796454,0.0689310689310689,L_tree,29.0,,,,,,cmc
